分类,英文标签,中文翻译
头发（颜色/长度/发型）,thin_hair,稀疏头发
头发（颜色/长度/发型）,layered_hair,层次发
头发（颜色/长度/发型）,shaggy_hair,蓬松乱发
头发（颜色/长度/发型）,messy_hair,凌乱头发
头发（颜色/长度/发型）,spiky_hair,竖立短发
头发（颜色/长度/发型）,side_part,偏分
头发（颜色/长度/发型）,middle_part,中分
头发（颜色/长度/发型）,low_hairline,低发际线
头发（颜色/长度/发型）,high_hairline,高发际线
头发（颜色/长度/发型）,cowlick,自然旋发
眼睛（颜色/形态/眉睫）,blue_eyes,蓝色眼睛
眼睛（颜色/形态/眉睫）,green_eyes,绿色眼睛
眼睛（颜色/形态/眉睫）,brown_eyes,棕色眼睛
眼睛（颜色/形态/眉睫）,red_eyes,红色眼睛
眼睛（颜色/形态/眉睫）,purple_eyes,紫色眼睛
眼睛（颜色/形态/眉睫）,amber_eyes,琥珀色眼睛
眼睛（颜色/形态/眉睫）,golden_eyes,金色眼睛
眼睛（颜色/形态/眉睫）,grey_eyes,灰色眼睛
眼睛（颜色/形态/眉睫）,aqua_eyes,水蓝色眼睛
眼睛（颜色/形态/眉睫）,black_eyes,黑色眼睛
眼睛（颜色/形态/眉睫）,big_eyes,大眼睛
眼睛（颜色/形态/眉睫）,narrow_eyes,细长眼
眼睛（颜色/形态/眉睫）,round_eyes,圆眼型
眼睛（颜色/形态/眉睫）,slanted_eyes,斜眼型
眼睛（颜色/形态/眉睫）,monolid,单眼皮
眼睛（颜色/形态/眉睫）,double_eyelid,双眼皮
眼睛（颜色/形态/眉睫）,long_eyelashes,长睫毛
眼睛（颜色/形态/眉睫）,short_eyelashes,短睫毛
眼睛（颜色/形态/眉睫）,thick_eyebrows,浓眉
眼睛（颜色/形态/眉睫）,thin_eyebrows,细眉
眼睛（颜色/形态/眉睫）,arched_eyebrows,弧形眉
眼睛（颜色/形态/眉睫）,bags_under_eyes,眼袋
眼睛（颜色/形态/眉睫）,blank_eyes,无神双眼
眼睛（颜色/形态/眉睫）,bloodshot_eyes,充血眼
眼睛（颜色/形态/眉睫）,heterochromia,异色瞳
眼睛（颜色/形态/眉睫）,closed_eyes,闭眼
眼睛（颜色/形态/眉睫）,no_eyes,无眼
眼睛（颜色/形态/眉睫）,no_eyebrows,无眉
眼睛（颜色/形态/眉睫）,no_eyelashes,无睫毛
眼睛（颜色/形态/眉睫）,almond_eyes,杏眼
眼睛（颜色/形态/眉睫）,upturned_eyes,上扬眼型
眼睛（颜色/形态/眉睫）,downturned_eyes,下垂眼型
眼睛（颜色/形态/眉睫）,deep_set_eyes,内陷眼
眼睛（颜色/形态/眉睫）,hooded_eyes,浮肿眼皮
眼睛（颜色/形态/眉睫）,wide_set_eyes,远距眼
眼睛（颜色/形态/眉睫）,close_set_eyes,近距眼
眼睛（颜色/形态/眉睫）,droopy_eyelids,下垂上眼皮
眼睛（颜色/形态/眉睫）,dark_circles,黑眼圈
眼睛（颜色/形态/眉睫）,dilated_pupils,瞳孔放大
眼睛（颜色/形态/眉睫）,constricted_pupils,瞳孔缩小
眼睛（颜色/形态/眉睫）,thick_eyelashes,浓密睫毛
眼睛（颜色/形态/眉睫）,sparse_eyelashes,稀疏睫毛
眼睛（颜色/形态/眉睫）,bushy_eyebrows,浓密眉
眼睛（颜色/形态/眉睫）,straight_eyebrows,平直眉
眼睛（颜色/形态/眉睫）,sleepy_eyes,困倦眼神
眼睛（颜色/形态/眉睫）,heavy_lids,厚重眼皮
皮肤与体毛,pale_skin,苍白皮肤
皮肤与体毛,fair_skin,白皙皮肤
皮肤与体毛,tan_skin,黝黑皮肤
皮肤与体毛,dark_skin,深色皮肤
皮肤与体毛,brown_skin,棕色皮肤
皮肤与体毛,black_skin,黑色皮肤
皮肤与体毛,white_skin,白色皮肤
皮肤与体毛,olive_skin,橄榄色皮肤
皮肤与体毛,freckled_skin,雀斑皮肤
皮肤与体毛,body_freckles,身体雀斑
皮肤与体毛,smooth_skin,光滑皮肤
皮肤与体毛,rough_skin,粗糙皮肤
皮肤与体毛,arm_hair,臂毛
皮肤与体毛,armpit_hair,腋毛
皮肤与体毛,leg_hair,腿毛
皮肤与体毛,chest_hair,胸毛
皮肤与体毛,hairless_body,无体毛
皮肤与体毛,warm_skin_tone,暖肤色
皮肤与体毛,cool_skin_tone,冷肤色
皮肤与体毛,neutral_skin_tone,中性肤色
皮肤与体毛,flushed_skin,面色潮红
皮肤与体毛,rosy_skin,红润肤色
皮肤与体毛,sunburned_skin,晒伤皮肤
皮肤与体毛,vitiligo,白癜风
皮肤与体毛,tan_lines,晒痕
皮肤与体毛,stretch_marks,妊娠纹/拉伸纹
皮肤与体毛,cellulite,橘皮组织
五官（脸型/鼻唇/口牙/耳）,high_cheekbones,高颧骨
五官（脸型/鼻唇/口牙/耳）,soft_cheeks,圆润脸颊
五官（脸型/鼻唇/口牙/耳）,hollow_cheeks,凹陷脸颊
五官（脸型/鼻唇/口牙/耳）,square_jaw,方下颌
五官（脸型/鼻唇/口牙/耳）,pointed_chin,尖下巴
五官（脸型/鼻唇/口牙/耳）,round_face,圆脸
五官（脸型/鼻唇/口牙/耳）,oval_face,椭圆脸
五官（脸型/鼻唇/口牙/耳）,heart_shaped_face,心形脸
五官（脸型/鼻唇/口牙/耳）,oblong_face,长形脸
五官（脸型/鼻唇/口牙/耳）,diamond_shaped_face,菱形脸
五官（脸型/鼻唇/口牙/耳）,receding_chin,后缩下巴
五官（脸型/鼻唇/口牙/耳）,brachycephaly,短头型
五官（脸型/鼻唇/口牙/耳）,acrocephaly,尖头型
五官（脸型/鼻唇/口牙/耳）,prominent_cheeks,突出的脸颊
五官（脸型/鼻唇/口牙/耳）,strong_jawline,棱角分明下颌线
五官（脸型/鼻唇/口牙/耳）,weak_jawline,柔和下颌线
五官（脸型/鼻唇/口牙/耳）,long_nose,长鼻子
五官（脸型/鼻唇/口牙/耳）,short_nose,短鼻子
五官（脸型/鼻唇/口牙/耳）,straight_nose,直鼻
五官（脸型/鼻唇/口牙/耳）,aquiline_nose,鹰钩鼻
五官（脸型/鼻唇/口牙/耳）,button_nose,小巧鼻
五官（脸型/鼻唇/口牙/耳）,upturned_nose,上翘鼻
五官（脸型/鼻唇/口牙/耳）,wide_nose,宽鼻
五官（脸型/鼻唇/口牙/耳）,narrow_nose,窄鼻
五官（脸型/鼻唇/口牙/耳）,flared_nostrils,张开的鼻翼
五官（脸型/鼻唇/口牙/耳）,thin_lips,薄唇
五官（脸型/鼻唇/口牙/耳）,full_lips,丰满嘴唇
五官（脸型/鼻唇/口牙/耳）,downturned_mouth,下垂嘴角
五官（脸型/鼻唇/口牙/耳）,pouty_lips,嘟嘟嘴
五官（脸型/鼻唇/口牙/耳）,crooked_teeth,齿列不齐
五官（脸型/鼻唇/口牙/耳）,buck_teeth,龅牙
五官（脸型/鼻唇/口牙/耳）,gap_teeth,门牙有缝
五官（脸型/鼻唇/口牙/耳）,gold_tooth,金牙
五官（脸型/鼻唇/口牙/耳）,tongue_out,伸舌头
五官（脸型/鼻唇/口牙/耳）,big_ears,大耳朵
五官（脸型/鼻唇/口牙/耳）,small_ears,小耳朵
五官（脸型/鼻唇/口牙/耳）,elf_ears,精灵耳
五官（脸型/鼻唇/口牙/耳）,pointed_ears,尖耳
五官（脸型/鼻唇/口牙/耳）,folded_ears,折耳
五官（脸型/鼻唇/口牙/耳）,protruding_ears,招风耳
五官（脸型/鼻唇/口牙/耳）,detached_earlobes,分离耳垂
五官（脸型/鼻唇/口牙/耳）,attached_earlobes,贴合耳垂
五官（脸型/鼻唇/口牙/耳）,long_earlobes,长耳垂
五官（脸型/鼻唇/口牙/耳）,small_earlobes,小耳垂
五官（脸型/鼻唇/口牙/耳）,wrinkled_forehead,皱纹额头
五官（脸型/鼻唇/口牙/耳）,smooth_forehead,光滑额头
五官（脸型/鼻唇/口牙/耳）,wide_forehead,宽额头
五官（脸型/鼻唇/口牙/耳）,narrow_forehead,窄额头
五官（脸型/鼻唇/口牙/耳）,scars,疤痕
五官（脸型/鼻唇/口牙/耳）,moles,痣
五官（脸型/鼻唇/口牙/耳）,birthmark,胎记
五官（脸型/鼻唇/口牙/耳）,wrinkles,皱纹
上半身,neck,脖子
上半身,shoulders,肩膀
上半身,collarbone,锁骨
上半身,cleavage,乳沟
上半身,breasts,胸部
上半身,small_breasts,小胸
上半身,medium_breasts,中等胸
上半身,large_breasts,大胸
上半身,breast_implants,隆胸
上半身,chest,胸腔
上半身,back,后背
上半身,scapula,肩胛骨
上半身,rib_cage,胸廓
上半身,stomach,腹部
上半身,waist,腰部
上半身,hips,胯部
上半身,abdomen,小腹
上半身,belly,肚子
上半身,navel,肚脐
上半身,toned_abs,紧致腹肌
上半身,beer_belly,啤酒肚
上半身,broad_shoulders,宽肩
上半身,narrow_shoulders,窄肩
上半身,hunched_back,驼背
下半身,butt,臀部
下半身,thighs,大腿
下半身,calves,小腿
下半身,knees,膝盖
下半身,ankles,脚踝
下半身,feet,脚
下半身,heels,脚后跟
下半身,soles,脚掌
下半身,toes,脚趾
下半身,thick_thighs,粗壮大腿
下半身,slim_thighs,纤细大腿
下半身,thigh_gap,大腿缝
下半身,wide_hips,宽胯
下半身,narrow_hips,窄胯
下半身,knock_knees,内八腿
下半身,bowlegs,罗圈腿
下半身,flat_feet,扁平足
下半身,high_arch,高足弓
四肢,arms,手臂
四肢,forearms,前臂
四肢,elbows,肘部
四肢,wrists,手腕
四肢,hands,手
四肢,fingers,手指
四肢,legs,腿
四肢,limbs,四肢
四肢,muscular_arms,肌肉手臂
四肢,slim_arms,纤细手臂
四肢,long_arms,长手臂
四肢,short_arms,短手臂
四肢,strong_legs,强壮腿部
四肢,slim_legs,纤细腿部
四肢,long_legs,长腿
四肢,short_legs,短腿
四肢,flexible_limbs,柔韧四肢
四肢,stiff_limbs,僵硬四肢
四肢,prosthetic_limb,义肢
手与指甲,hands_out_of_frame,手部出框
手与指甲,hand_on_hip,手扶腰
手与指甲,hand_on_chin,手托下巴
手与指甲,hand_on_cheek,手扶脸颊
手与指甲,hand_on_chest,手放胸口
手与指甲,hand_on_head,手按头
手与指甲,fingers_interlocked,十指相扣
手与指甲,interlocked_fingers,交叉手指
手与指甲,nail_polish,涂指甲油
手与指甲,long_nails,长指甲
手与指甲,short_nails,短指甲
手与指甲,sharp_nails,尖指甲
身材与身高,curvy_body,曲线身材
身材与身高,slim_body,纤细身材
身材与身高,athletic_body,健美身材
身材与身高,stocky_body,粗壮身材
身材与身高,lean_body,精瘦身材
身材与身高,bulky_body,厚重身材
身材与身高,average_height,中等身高
身材与身高,short_height,矮个
身材与身高,tall_height,高个
身材与身高,dwarfism,侏儒
身材与身高,giantism,巨人
身材与身高,pear_shape,梨形身材
身材与身高,apple_shape,苹果形身材
身材与身高,rectangle_shape,矩形身材
身材与身高,hourglass_shape,沙漏形身材
年龄特征,acne,痤疮
年龄特征,pimples,青春痘
年龄特征,wrinkles,皱纹
年龄特征,fine_lines,细纹
年龄特征,age_spots,老年斑
年龄特征,dark_spots,色斑
年龄特征,scar_tissue,疤痕组织
年龄特征,loose_skin,松弛皮肤
年龄特征,sagging_skin,下垂皮肤
年龄特征,crow's_feet,鱼尾纹
年龄特征,smile_lines,法令纹
年龄特征,forehead_lines,额头纹
年龄特征,under_eye_hollows,眼下凹陷
年龄段,baby,婴儿
年龄段,toddler,幼儿
年龄段,child,儿童
年龄段,teen,青少年
年龄段,young_adult,年轻成人
年龄段,adult,成年人
年龄段,middle_aged,中年
年龄段,elderly,老年
额外补充,beauty_mark,美人痣
额外补充,dimple,酒窝
额外补充,peach_fuzz,汗毛
额外补充,rosacea,酒糟鼻/玫瑰痤疮
额外补充,hyperpigmentation,色素沉着
额外补充,hypopigmentation,色素减退
额外补充,scar,疤痕
额外补充,bruise,淤青
额外补充,bandage,绷带
额外补充,tattoo,纹身
额外补充,henna,海娜图案
额外补充,makeup,化妆
额外补充,heavy_makeup,浓妆
额外补充,light_makeup,淡妆
额外补充,smudged_makeup,花妆
额外补充,lipstick,口红
额外补充,glossy_lips,亮泽唇
额外补充,matte_lips,雾面唇
额外补充,blush,腮红
额外补充,eyeshadow,眼影
额外补充,eyeliner,眼线
额外补充,mascara,睫毛膏
额外补充,foundation,粉底
额外补充,concealer,遮瑕
额外补充,contour,修容
额外补充,highlighter,高光
额外补充,body_glitter,身体彩妆
额外补充,face_paint,面部彩绘
额外补充,freckles,雀斑
额外补充,skin_irritation,皮肤刺激
额外补充,rash,皮疹
额外补充,hives,荨麻疹
额外补充,allergic_reaction,过敏反应
额外补充,psoriasis,银屑病
额外补充,eczema,湿疹
额外补充,birth_defect,先天性缺陷
