分类,英文标签,中文翻译
性行为,covered_anus,覆盖肛门
身体部位,covered_nipples,激凸的乳头
其他R18,covered_penis,覆盖的阴茎
性行为,covering_anus,覆盖肛门
身体部位,covering_ass,遮着臀部
身体部位,covering_breasts,遮着乳房
身体部位,covering_nipples,挡住乳头
身体部位,covering_one_breast,覆盖一个乳房
身体部位,cream_on_breasts,奶油在乳房上
性行为,cuddling_handjob,拥抱打手枪
体液/高潮,cum,精液
体液/高潮,cum_bath,暨洗澡
体液/高潮,cum_bubble,暨气泡
体液/高潮,cum_bucket,暨桶
体液/高潮,cum_in_ass,肛门内射
体液/高潮,cum_in_bowl,暨在碗中
体液/高潮,cum_in_clothes,暨穿衣服
体液/高潮,cum_in_container,暨在容器中
体液/高潮,cum_in_cup,暨杯
体液/高潮,cum_in_eye,暨在眼中
体液/高潮,cum_in_footwear,暨鞋类
体液/高潮,cum_in_headwear,暨头饰
体液/高潮,cum_in_mouth,口内射精
体液/高潮,cum_in_navel,暨肚脐
体液/高潮,cum_in_nose,暨鼻子
体液/高潮,cum_in_panties,暨内裤
体液/高潮,cum_in_pussy,内射
体液/高潮,cum_in_shoe,暨鞋
体液/高潮,cum_in_throat,暨喉咙
体液/高潮,cum_inflation,暨通货膨胀
体液/高潮,cum_milking,暨挤奶
体液/高潮,cum_on_armpits,暨腋窝
体液/高潮,cum_on_ass,射在屁股上
体液/高潮,cum_on_back,暨背
体液/高潮,cum_on_bed,暨在床上
体液/高潮,cum_on_body,射在身上
体液/高潮,cum_on_boy,射在男性身上
体液/高潮,cum_on_breasts,射在胸上
体液/高潮,cum_on_chest,暨在胸部
体液/高潮,cum_on_clothes,射在衣服上
体液/高潮,cum_on_crotch,暨 cum
体液/高潮,cum_on_eyewear,暨在眼镜上
体液/高潮,cum_on_feet,暨脚
体液/高潮,cum_on_figure,暨在数字上
体液/高潮,cum_on_fingers,暨在手指上
体液/高潮,cum_on_floor,暨在地板上
体液/高潮,cum_on_food,暨食物
体液/高潮,cum_on_glasses,暨在眼镜上
体液/高潮,cum_on_gloves,暨手套
体液/高潮,cum_on_hair,射在头发上
体液/高潮,cum_on_hands,暨在手上
体液/高潮,cum_on_headwear,暨穿上头饰
体液/高潮,cum_on_horns,暨在角上
体液/高潮,cum_on_legs,暨在腿上
体液/高潮,cum_on_legwear,暨腿衣
体液/高潮,cum_on_lips,暨在嘴唇上
体液/高潮,cum_on_mask,暨在面具上
体液/高潮,cum_on_neck,暨在脖子上
体液/高潮,cum_on_object,暨对象
体液/高潮,cum_on_pectorals,在胸肌上暨
体液/高潮,cum_on_penis,暨在阴茎上
体液/高潮,cum_on_pussy,射在阴部上
体液/高潮,cum_on_self,射在自己身上
体液/高潮,cum_on_sheets,暨在床单上
体液/高潮,cum_on_skirt,暨裙子
体液/高潮,cum_on_stomach,射在嘴里
体液/高潮,cum_on_tail,暨在尾巴上
体液/高潮,cum_on_testicles,暨睾丸
体液/高潮,cum_on_tongue,射在舌头上
体液/高潮,cum_on_underside,暨在底面
体液/高潮,cum_pool,淌成一滩的精液
体液/高潮,cum_string,拉丝的精液
体液/高潮,cum_swap,暨交换
体液/高潮,cum_through_clothes,暨穿衣服
性行为,dark_anus,黑暗的肛门
身体部位,dark_nipples,深色的乳头
其他R18,dark_penis,深色的阴茎
身体部位,dat_ass_(meme),Dat Ass（模因）
其他R18,dick_in_a_box,鸡巴在盒子里
性器/玩具,dildo,假阴茎
性器/玩具,dildo_under_panties,假阳具在内裤下
身体部位,disembodied_breast,无形的乳房
其他R18,disembodied_penis,断掉的阴茎
其他R18,dog_penis,狗阴茎
其他R18,dolphin_penis,海豚阴茎
性行为,double_anal,双肛门
身体部位,double_breast_sucking,双胸吮吸
性器/玩具,double_dildo,双头假阴茎
性行为,double_handjob,双手各握着一根阴茎
性行为,double_vaginal,双阴道
性行为,ear_sex,耳朵性别
性器/玩具,egg_vibrator,跳蛋
其他R18,ejaculating_while_penetrated,穿透时射精
体液/高潮,ejaculation,射精
体液/高潮,ejaculation_under_clothes,射精在衣服下
性行为,emotionless_sex,无情的性爱
体液/高潮,excessive_cum,超大的射精量
其他R18,excessive_pussy_juice,过多的猫汁
身体部位,extra_breasts,额外的乳房
身体部位,extra_nipples,额外的乳头
身体部位,face_between_breasts,乳房之间的脸
身体部位,face_in_ass,面对屁股
身体部位,face_to_breasts,面对乳房
性行为,fellatio,口交
性行为,fellatio_gesture,摆着口交的手势
体液/高潮,female_ejaculation,潮吹
体液/高潮,female_ejaculation_through_clothes,女性射精通过衣服
性行为,female_footjob,女性脚步
体液/高潮,female_orgasm,女性高潮
内衣/服饰,fingering_through_panties,指着内裤
身体部位,flat_ass,贫瘠的屁股
身体部位,floating_breasts,漂浮的乳房
身体部位,food_between_breasts,乳房之间的食物
身体部位,food_on_breasts,乳房上的食物
其他R18,food_on_penis,阴茎上的食物
身体部位,foot_on_breast,脚踩在乳房上
其他R18,foot_pussy,脚猫
非自愿/暴力,forced,强迫
非自愿/暴力,forced_dressing,强迫穿衣
非自愿/暴力,forced_kiss,强迫吻
非自愿/暴力,forced_orgasm,强制高潮
非自愿/暴力,forced_partners,强迫伙伴
非自愿/暴力,forced_perspective,强迫观点
非自愿/暴力,forced_smile,苦笑
身体部位,framed_breasts,极具立体感的乳房
性行为,free_sex_sign,免费的性标志
身体部位,gift_between_breasts,乳房之间的礼物
身体部位,gigantic_breasts,超大乳房
其他R18,gigantic_penis,巨大的阴茎
性行为,gloved_handjob,戴着手枪
身体部位,glowing_nipples,发光的乳头
其他R18,glowing_penis,阴茎发光
身体部位,good_ass_day,好屁股的一天
身体部位,good_breasts_day,良好的乳房日
身体部位,grabbing_another's_ass,抓着对方屁股
身体部位,grabbing_own_ass,抓着自己的屁股
身体部位,grabbing_own_breast,抓住自己的乳房
身体部位,green_nipples,绿色乳头
身体部位,grey_nipples,灰色乳头
性行为,group_sex,群 P
身体部位,guided_breast_grab,把对方的手抓过来摸自己的胸
性行为,guided_penetration,抓住男性器插入自己
身体部位,hair_between_breasts,乳房之间的头发
BDSM/束缚,hair_bondage,头发束缚
身体部位,hair_over_breasts,头发披在胸上
身体部位,hair_over_one_breast,一头乳房的头发
身体部位,hand_on_another's_ass,交给别人的屁股
其他R18,hand_on_another's_penis,交给别人的阴茎
身体部位,hand_on_breast,手上的乳房
身体部位,hand_on_breasts,手上的乳房
身体部位,hand_on_own_ass,交手
其他R18,hand_on_own_penis,on
性行为,handjob,手淫
性行为,handjob_gesture,打手枪手势
性行为,handjob_over_clothes,打手枪在衣服上
身体部位,hands_on_ass,双手放在屁股上
身体部位,hands_on_own_ass,动手自己的屁股
身体部位,hands_on_own_breasts,手上的乳房
其他R18,hands_on_penis,动手阴茎
体液/高潮,handsfree_ejaculation,免费射精
身体部位,hanging_breasts,(俯身) 双乳下垂
性行为,happy_sex,幸福的做爱
身体部位,head_between_breasts,头埋在胸里
身体部位,head_on_ass,前往屁股
性行为,holding_sex_toy,拿着性玩具
其他R18,horse_penis,马阴茎
身体部位,hose_between_breasts,乳房之间的软管
身体部位,huge_ass,大屁股
身体部位,huge_breasts,爆乳
身体部位,huge_nipples,大乳头
其他R18,huge_penis,大阴茎
体液/高潮,iced_latte_with_breast_milk_(meme),冰拿铁与母乳（模因）
性行为,imminent_anal,迫在眉睫的肛门
身体部位,imminent_breast_grab,迫在眉睫的乳房
非自愿/暴力,imminent_rape,正要被强奸
性行为,imminent_vaginal,正要被插入的小穴
性行为,implied_after_sex,性爱后暗示
性行为,implied_anal,暗示肛门
体液/高潮,implied_ejaculation,暗示射精
性行为,implied_handjob,隐含的打手枪
体液/高潮,implied_orgasm,隐含性高潮
非自愿/暴力,implied_rape,暗示强奸
性行为,implied_sex,其实插进去了吧
性器/玩具,implied_vibrator,隐含的振动器
身体部位,inconvenient_ass,不便的屁股
身体部位,inconvenient_breasts,不便的乳房
体液/高潮,internal_cumshot,内射断面图
其他R18,intravaginal_futanari,静脉内 futanari
身体部位,inverted_nipples,内陷乳头
其他R18,invisible_penis,隐去阴茎
其他R18,italian_senate_porn_livestream,意大利参议院色情直播
身体部位,jewel_butt_plug,珠宝对接塞
身体部位,kissing_breast,亲吻乳房
其他R18,kissing_penis,亲吻阴茎
性行为,kneepit_sex,屈膝
其他R18,knotted_penis,打结的阴茎
性行为,kyoudaidon_(sex),京东顿（性）
身体部位,large_breasts,巨乳
身体部位,large_pectorals,大型胸部
其他R18,large_penis,大阴茎
身体部位,licking_breast,舔乳房
体液/高潮,licking_cum,舔暨
身体部位,licking_nipple,舔乳头
其他R18,licking_penis,舔阴茎
身体部位,long_breast_curtain,长胸窗帘
身体部位,long_nipples,长乳头
身体部位,looking_at_ass,看屁股
身体部位,looking_at_breasts,瞄着乳房
其他R18,looking_at_penis,看着阴茎
其他R18,looking_at_pussy,看着猫
体液/高潮,male_lactation,男性泌乳
暴露/状态,male_underwear_peek,男性内衣窥视
身体部位,male_with_breasts,男性乳房
身体部位,mask_on_breasts,乳房上的口罩
身体部位,medium_breasts,普通罩杯的胸
性行为,milking_handjob,挤奶手枪
非自愿/暴力,mind_rape,谨记强奸
性行为,mixed-sex_combat,混合性战斗
身体部位,mole_on_ass,屁股上的痣
身体部位,mole_on_breast,乳房上有痣
其他R18,mole_on_pussy,猫在猫上
性行为,multiple_anal,多肛门
性行为,multiple_penis_fellatio,多个阴茎崩溃
性行为,multiple_vaginal,多重阴道
身体部位,mutual_breast_sucking,相互乳房吮吸
体液/高潮,mutual_orgasm,相互性高潮
暴露/状态,naked_apron,裸体围裙
暴露/状态,naked_armor,裸露的盔甲
暴露/状态,naked_bandage,裸体且裹着绷带
暴露/状态,naked_belt,裸皮带
暴露/状态,naked_bowtie,赤裸裸的领结
暴露/状态,naked_cape,裸体且披着斗篷
暴露/状态,naked_capelet,裸帽子
暴露/状态,naked_cardigan,裸开衫
暴露/状态,naked_chocolate,裸巧克力
暴露/状态,naked_cloak,裸露的斗篷
暴露/状态,naked_coat,裸体且披着大衣
暴露/状态,naked_costume,裸体服装
暴露/状态,naked_dogeza,赤裸的多盖
暴露/状态,naked_hood,裸罩
暴露/状态,naked_hoodie,裸体且穿着连帽衫
暴露/状态,naked_jacket,裸夹克
暴露/状态,naked_kappougi,赤裸裸的 kappougi
暴露/状态,naked_kimono,裸体且穿着和服
暴露/状态,naked_labcoat,裸露的 Labcoat
暴露/状态,naked_necktie,赤裸裸的领带
暴露/状态,naked_overalls,裸体且穿着工作服
暴露/状态,naked_paint,裸油漆
暴露/状态,naked_pumpkin,裸南瓜
暴露/状态,naked_raincoat,裸露的雨衣
暴露/状态,naked_ribbon,裸体且缠着丝带
暴露/状态,naked_robe,裸露的长袍
暴露/状态,naked_sarashi,赤裸的萨拉西
暴露/状态,naked_scarf,裸体且裹着围巾
暴露/状态,naked_sheet,裸体且裹着被子
暴露/状态,naked_shirt,裸体且穿着衬衫
暴露/状态,naked_skirt,裸裙
暴露/状态,naked_suspenders,赤裸裸的吊带
暴露/状态,naked_sweater,裸体毛衣
暴露/状态,naked_tabard,裸体且穿着搭肩衫
暴露/状态,naked_towel,裸体且裹着毛巾
暴露/状态,naked_vest,裸体背心
暴露/状态,nearly_naked_apron,只穿着内衣 (或泳衣) 和围裙
暴露/状态,nearly_naked_coat,几乎裸露的外套
暴露/状态,nearly_naked_ribbon,几乎裸露的丝带
暴露/状态,nearly_naked_sweater,几乎是赤裸裸的毛衣
身体部位,neckerchief_between_breasts,乳房之间的脖子
身体部位,necktie_between_breasts,领带贴 (夹) 在乳沟里
身体部位,necktie_between_pectorals,胸部之间的领带
身体部位,nipple-to-nipple,乳头至乳头
身体部位,nipple_bar,乳头吧
身体部位,nipple_bells,乳头铃
身体部位,nipple_biting,乳头咬
身体部位,nipple_chain,乳头链
身体部位,nipple_clamps,乳头夹
身体部位,nipple_cutout,乳头切口
身体部位,nipple_flick,乳头轻弹
身体部位,nipple_injection,乳头注射
BDSM/束缚,nipple_leash,乳头皮带
身体部位,nipple_penetration,乳头穿透
身体部位,nipple_piercing,乳头穿刺
身体部位,nipple_press,乳头出版社
身体部位,nipple_pull,乳头拉
身体部位,nipple_push,乳头推
身体部位,nipple_ribbon,乳头丝带
身体部位,nipple_rings,乳环
身体部位,nipple_rub,乳头擦
身体部位,nipple_sleeves,乳头袖
身体部位,nipple_slip,乳头走光
身体部位,nipple_tag,乳头标签
身体部位,nipple_tassels,乳头流苏
身体部位,nipple_torture,乳头酷刑
身体部位,nipple_tweak,玩弄乳头
身体部位,nipples,乳头
性行为,no_anus,没有肛门
身体部位,no_nipples,没画出乳头
其他R18,no_penis,没有阴茎
其他R18,no_pussy,裸着裆部但没画小穴
暴露/状态,nude,裸体
暴露/状态,nude_beach,裸色海滩
暴露/状态,nude_cover,裸体封面
暴露/状态,nude_modeling,裸体建模
性行为,nursing_handjob,喂奶手交
身体部位,object_on_breast,乳房上的物体
身体部位,object_on_pectorals,胸部的对象
体液/高潮,off-color_semen,颜色精液
身体部位,ofuda_on_nipples,Ofuda 在乳头上
其他R18,ofuda_on_pussy,Ofuda 在猫上
身体部位,one_breast_out,露出一只乳房
体液/高潮,orgasm,高潮
体液/高潮,orgasm_denial,性高潮否认
身体部位,oversized_breast_cup,超大的乳房杯
性行为,oyakodon_(sex),oyakodon（性）
身体部位,panties_on_breasts,乳房上的内裤
内衣/服饰,panties_on_penis,阴茎上的内裤
BDSM/束缚,panty_gag,内裤插科打
暴露/状态,panty_peek,微微露出内裤
身体部位,pectorals,胸肌
其他R18,peeing_on_penis,撒尿阴茎
其他R18,penis,阴茎
其他R18,penis_and_testicles_touching,阴茎和睾丸接触
其他R18,penis_awe,亮 “枪”
其他R18,penis_biting,阴茎咬
其他R18,penis_bow,阴茎弓
其他R18,penis_chart,阴茎图
其他R18,penis_envy,阴茎嫉妒
其他R18,penis_face,阴茎脸
BDSM/束缚,penis_gag,阴茎插科打
其他R18,penis_grab,抓着阴茎
其他R18,penis_growth,阴茎生长
其他R18,penis_head,阴茎头
其他R18,penis_hug,阴茎拥抱
其他R18,penis_in_eye,阴茎在眼中
其他R18,penis_in_glove,阴茎戴手套
内衣/服饰,penis_in_panties,阴茎勾着内裤
其他R18,penis_in_pantyhose,连衣裙的阴茎
其他R18,penis_in_swimsuit,泳衣的阴茎
其他R18,penis_in_thighhigh,大腿的阴茎
其他R18,penis_measuring,阴茎测量
其他R18,penis_milking,阴茎挤奶
身体部位,penis_nipples,阴茎乳头
身体部位,penis_on_ass,屁股上的阴茎
其他R18,penis_on_face,阴茎贴着脸
其他R18,penis_on_head,阴茎头
其他R18,penis_on_pussy,阴茎上的猫
其他R18,penis_on_shoulder,阴茎在肩膀上
其他R18,penis_on_stomach,阴茎在肚子上
其他R18,penis_on_tongue,阴茎在舌头上
其他R18,penis_ornament,阴茎装饰
其他R18,penis_outside,阴茎在外面
其他R18,penis_over_eyes,阴茎在眼睛上
其他R18,penis_over_one_eye,一只眼睛的阴茎
暴露/状态,penis_peek,阴茎窥视
其他R18,penis_piercing,阴茎刺穿
其他R18,penis_ribbon,阴茎丝带
其他R18,penis_shadow,阴茎阴影
其他R18,penis_sheath,阴茎护套
其他R18,penis_size_difference,阴茎尺寸差异
其他R18,penis_tail,阴茎尾巴
其他R18,penis_tentacles,阴茎触角
身体部位,penis_to_breast,阴茎到乳房
其他R18,penis_to_navel,阴茎到肚脐
其他R18,penis_under_another's_clothes,阴茎在别人的衣服下
其他R18,penis_wrap,阴茎包裹
身体部位,perky_breasts,丰满的乳房
身体部位,person_between_breasts,乳房之间的人
其他R18,pig_penis,猪阴茎
性行为,piledriver_(sex),打桩机（性）
性行为,pillow_sex,枕头性
性行为,plant_sex,植物性
身体部位,pointy_breasts,尖尖的乳房
身体部位,pokemon_between_breasts,乳房之间的口袋妖怪
身体部位,poking_ass,戳屁股
其他R18,poking_penis,戳阴茎
其他R18,poking_with_penis,用阴茎戳
其他R18,pouring_onto_pussy,倒在猫上
BDSM/束缚,predicament_bondage,困境束缚
体液/高潮,premature_ejaculation,过早射精
其他R18,presenting_pussy,呈现猫
体液/高潮,projectile_cum,精液射到空中
BDSM/束缚,public_bondage,公共束缚
性器/玩具,public_vibrator,公共振动器
性行为,puckered_anus,皱巴巴的肛门
性行为,puffy_anus,蓬松的肛门
身体部位,puffy_nipples,勃起的乳头
身体部位,purple_nipples,紫色乳头
其他R18,purple_pussy,紫色猫
其他R18,pussy,小穴
其他R18,pussy_cutout,猫切口
其他R18,pussy_eating_monster,猫吃怪物
其他R18,pussy_hold,猫握住
其他R18,pussy_juice,爱液
其他R18,pussy_juice_drip_through_clothes,猫果汁穿过衣服
其他R18,pussy_juice_in_container,容器中的猫汁
其他R18,pussy_juice_in_mouth,嘴里的猫汁
其他R18,pussy_juice_puddle,爱液流成的滩
其他R18,pussy_juice_stain,衣物上有爱液的水渍
其他R18,pussy_juice_trail,拉丝的爱液
暴露/状态,pussy_peek,微微渗出的爱液
其他R18,pussy_piercing,猫穿刺
其他R18,pussy_sandwich,猫三明治
其他R18,pussy_squeeze,猫挤压
其他R18,pussy_steam,猫蒸汽
非自愿/暴力,rape,强奸
非自愿/暴力,rape_face,一副要强奸人的表情
暴露/状态,rear_naked_choke,后赤裸的 cho
身体部位,red_nipples,红色乳头
性器/玩具,remote_control_vibrator,震动遥控器
性行为,reverse_grip_handjob,反向握手打手枪
身体部位,ribbon_between_breasts,乳房之间的缎带
BDSM/束缚,ribbon_bondage,被丝带捆住
性行为,robot_sex,机器人性爱
性行为,rough_sex,粗暴的性爱
身体部位,sagging_breasts,(因俯身而) 下垂的乳房
其他R18,saliva_on_penis,唾液在阴茎上
身体部位,scar_on_ass,疤痕在屁股上
身体部位,scar_on_breasts,乳房上的疤痕
性行为,scary_sex,可怕的性
身体部位,scratching_ass,刮擦屁股
BDSM/束缚,self_bondage,自束缚
身体部位,self_breast_sucking,自胸吮吸
身体部位,servants_holding_aphrodite's_breasts_(meme),拿着阿芙罗狄蒂的乳房（模因）的仆人
其他R18,severed_penis,切断的阴茎
性行为,sex,性交
性行为,sex_doll,性洋娃娃
性行为,sex_ed,性爱
性行为,sex_from_behind,泛指从身后插入的体位
性行为,sex_machine,机械奸
性行为,sex_toy,性爱玩具
性行为,sex_toy_pull,性玩具拉
其他R18,sexual_coaching,性指导
其他R18,sexual_dimorphism,性二态性
其他R18,sexual_harassment,性骚扰
其他R18,shared_artificial_vagina,共享人造阴道
BDSM/束缚,shibari_over_clothes,着衣绑缚
性行为,shimaidon_(sex),Shimaidon（性）
身体部位,single_inverted_nipple,单倒乳头
其他R18,slapping_penis,拍打阴茎
其他R18,slapping_with_penis,用阴茎拍打
身体部位,small_breasts,贫乳
身体部位,small_nipples,娇小的乳头
其他R18,small_penis,小阴茎
其他R18,small_penis_humiliation,小阴茎屈辱
身体部位,smelling_ass,闻到屁股
其他R18,smelling_penis,闻到阴茎
其他R18,smelly_penis,臭阴茎
BDSM/束缚,snake_bondage,蛇束缚
其他R18,sock_on_penis,阴茎上的袜子
其他R18,spiked_penis,尖刺的阴茎
性行为,spread_anus,掰开肛门
性行为,spread_anus_under_clothes,在衣服下散布肛门
身体部位,spread_ass,摊开屁股
身体部位,spread_nipple,传播乳头
其他R18,spread_pussy,掰开阴部
其他R18,spread_pussy_under_clothes,隔着衣物掰穴
性行为,standing_sex,站立后入
BDSM/束缚,stealth_bondage,隐形束缚
性行为,stealth_handjob,隐形打手枪
性行为,stealth_sex,隐奸
身体部位,strap_between_breasts,勒在乳房之间的带子
身体部位,sucking_both_nipples,吮吸两个乳头
身体部位,sucking_male_nipple,吮吸雄性乳头
身体部位,sucking_on_multiple_breasts,吮吸多个乳房
身体部位,sword_between_breasts,乳房之间的剑
性行为,table_sex,餐桌性
其他R18,tail_pussy,尾部猫
非自愿/暴力,tail_rape,尾巴强奸
BDSM/束缚,tape_bondage,胶带束缚
身体部位,tape_on_nipples,胶带在乳头上
其他R18,tape_on_pussy,胶带上的猫
性行为,teddy_bear_sex,泰迪熊的性爱
性行为,telepathic_sex,心灵感应性
性行为,tentacle_sex,触手奸
暴露/状态,testicle_peek,睾丸窥视
性行为,they_had_lots_of_sex_afterwards_(meme),之后他们有很多性爱（模因）
性行为,thigh_sex,素股
身体部位,tied_nipples,绑乳头
性行为,too_many_sex_toys,性玩具太多
暴露/状态,topless,赤裸上身
暴露/状态,topless_male,裸照男性
身体部位,towel_around_breasts,毛巾在乳房周围
身体部位,transparent_breasts_pads,透明的乳房垫
性行为,triple_anal,三重肛门
性行为,triple_vaginal,三重阴道
性行为,trombone_(sex_act),长号（性行为）
其他R18,tucked_penis,塞了阴茎
身体部位,tweaking_own_nipple,调整自己的乳头
身体部位,twisted_breasts,扭曲的乳房
其他R18,twitching_penis,抽搐的阴茎
性行为,two-handed_handjob,用双手手交
身体部位,unaligned_breasts,左右乳房动态不一
