分类,英文标签,中文翻译
外套,down_jacket,羽绒服
外套,duffel_coat,粗呢大衣
外套,duster_coat,Duster Coat
外套,flak_jacket,防弹背心
帽饰,frilled_hat,褶皱帽子
外套,fur_capelet,毛皮帽
裙类,grass_skirt,草裙
民族/主题服,gym_uniform,体操服
裤类,harem_pants,灯笼裤
帽饰,holding_hat,拿着帽子
外套,hooded_cape,连帽斗篷
外套,hooded_coat,连帽外套
鞋靴,large_shoes,大鞋
鞋靴,latex_boots,乳胶靴子
连衣裙,latex_dress,乳胶连衣裙
裤类,latex_pants,乳胶裤
裙类,latex_skirt,乳胶裙
外套,long_jacket,长外套
裤类,loose_pants,松散的裤子
上衣,loose_shirt,松散的衬衫
裙类,loose_skirt,松散的裙子
袜/腿部,loose_socks,泡泡袜
鞋靴,metal_boots,金属靴子
外套,padded_coat,衬垫外套
帽饰,penguin_hat,企鹅帽
帽饰,pillbox_hat,药盒帽子
连衣裙,plaid_dress,格子呢连衣裙
裤类,plaid_pants,格子呢裤子
上衣,plaid_shirt,格子呢衬衫
裙类,plaid_skirt,格子呢短裙
袜/腿部,plaid_socks,格子袜
帽饰,porkpie_hat,道士帽
连衣裙,print_dress,印花连衣裙
裤类,print_pants,打印裤子
上衣,print_shirt,印花衬衫
裙类,print_skirt,印花短裙
连衣裙,puffy_dress,蓬松的连衣裙
裤类,puffy_pants,蓬松的裤子
鞋靴,pumpkin_hat,南瓜帽
上衣,quick_shirt,快速衬衫
鞋靴,santa_boots,圣诞老人靴
连衣裙,santa_dress,圣诞老人连衣裙
连衣裙,satin_dress,缎面连衣裙
